iter	Passed	Remaining
0	32	16029
1	80	19983
2	116	19258
3	155	19103
4	187	18421
5	236	19368
6	293	20530
7	419	25655
8	495	26854
9	540	26305
10	565	25001
11	613	24810
12	667	24840
13	702	24226
14	743	23891
15	784	23577
16	816	23053
17	830	22110
18	852	21445
19	910	21706
20	934	21171
21	973	21014
22	1005	20725
23	1042	20548
24	1065	20120
25	1107	20054
26	1138	19825
27	1178	19741
28	1212	19565
29	1241	19326
30	1276	19188
31	1299	18876
32	1325	18638
33	1366	18614
34	1403	18524
35	1432	18347
36	1458	18138
37	1490	18009
38	1533	18005
39	1578	18037
40	1615	17970
41	1641	17784
42	1660	17527
43	1681	17313
44	1706	17145
45	1733	16993
46	1757	16826
47	1779	16641
48	1797	16438
49	1824	16313
50	1851	16189
51	1876	16058
52	1899	15913
53	1930	15839
54	1963	15779
55	1986	15641
56	2009	15514
57	2029	15361
58	2052	15239
59	2075	15118
60	2095	14976
61	2116	14850
62	2136	14718
63	2158	14606
64	2183	14513
65	2207	14414
66	2230	14316
67	2258	14249
68	2280	14148
69	2301	14038
70	2324	13945
71	2348	13859
72	2371	13773
73	2394	13689
74	2414	13587
75	2416	13387
76	2438	13299
77	2457	13202
78	2479	13117
79	2498	13023
80	2515	12920
81	2537	12840
82	2556	12750
83	2578	12676
84	2603	12617
85	2624	12540
86	2645	12465
87	2664	12385
88	2687	12318
89	2710	12255
90	2733	12194
91	2755	12132
92	2775	12058
93	2802	12016
94	2824	11950
95	2855	11929
96	2876	11861
97	2897	11798
98	2927	11769
99	2948	11705
100	2970	11648
101	2994	11598
102	3016	11538
103	3039	11484
104	3062	11434
105	3085	11380
106	3109	11332
107	3131	11280
108	3154	11229
109	3177	11180
110	3194	11109
111	3217	11059
112	3239	11009
113	3267	10976
114	3285	10914
115	3308	10867
116	3330	10816
117	3353	10770
118	3377	10728
119	3404	10695
120	3423	10639
121	3444	10588
122	3469	10549
123	3491	10502
124	3509	10444
125	3532	10402
126	3559	10370
127	3580	10322
128	3604	10282
129	3626	10236
130	3645	10184
131	3670	10150
132	3687	10092
133	3712	10056
134	3732	10008
135	3754	9966
136	3785	9947
137	3802	9893
138	3825	9853
139	3848	9813
140	3871	9775
141	3892	9731
142	3916	9695
143	3939	9656
144	3966	9629
145	3986	9583
146	4014	9558
147	4032	9509
148	4058	9479
149	4082	9444
150	4106	9409
151	4131	9376
152	4152	9335
153	4174	9296
154	4198	9264
155	4219	9223
156	4224	9148
157	4240	9098
158	4265	9068
159	4284	9025
160	4307	8988
161	4330	8955
162	4354	8921
163	4381	8896
164	4403	8859
165	4427	8828
166	4449	8792
167	4473	8760
168	4498	8730
169	4517	8688
170	4529	8634
171	4552	8602
172	4572	8563
173	4595	8530
174	4619	8500
175	4629	8443
176	4649	8406
177	4671	8371
178	4694	8340
179	4720	8312
180	4739	8274
181	4762	8243
182	4788	8216
183	4810	8183
184	4833	8151
185	4861	8128
186	4876	8083
187	4902	8057
188	4931	8036
189	4958	8012
190	4979	7978
191	4998	7940
192	5005	7884
193	5026	7850
194	5054	7827
195	5062	7774
196	5086	7745
197	5105	7710
198	5130	7683
199	5152	7651
200	5167	7609
201	5186	7574
202	5209	7544
203	5233	7516
204	5253	7483
205	5272	7448
206	5295	7419
207	5316	7387
208	5341	7360
209	5365	7332
210	5384	7298
211	5409	7272
212	5436	7248
213	5458	7218
214	5478	7186
215	5503	7159
216	5527	7132
217	5550	7103
218	5575	7077
219	5595	7045
220	5618	7017
221	5642	6989
222	5662	6957
223	5684	6928
224	5707	6899
225	5729	6869
226	5749	6838
227	5774	6813
228	5801	6790
229	5820	6757
230	5849	6735
231	5872	6708
232	5890	6673
233	5909	6641
234	5928	6610
235	5946	6576
236	5969	6549
237	5989	6518
238	6009	6487
239	6028	6455
240	6051	6427
241	6073	6399
242	6094	6370
243	6114	6340
244	6143	6318
245	6166	6292
246	6192	6267
247	6212	6237
248	6238	6213
249	6254	6179
250	6275	6150
251	6295	6121
252	6321	6096
253	6343	6068
254	6365	6041
255	6387	6013
256	6413	5989
257	6436	5962
258	6461	5937
259	6483	5910
260	6503	5880
261	6528	5855
262	6554	5831
263	6574	5802
264	6595	5773
265	6614	5744
266	6635	5716
267	6657	5688
268	6679	5661
269	6708	5639
270	6727	5610
271	6757	5589
272	6775	5559
273	6793	5528
274	6822	5507
275	6850	5485
276	6874	5459
277	6892	5429
278	6920	5407
279	6928	5369
280	6954	5345
281	6975	5318
282	6994	5289
283	7014	5260
284	7035	5233
285	7055	5205
286	7078	5179
287	7098	5151
288	7120	5124
289	7148	5102
290	7172	5077
291	7187	5046
292	7207	5018
293	7229	4991
294	7257	4969
295	7279	4943
296	7308	4921
297	7327	4893
298	7352	4869
